Al-Nassar ,Cristiano Ronaldo,FWD,40,IND,30,30,30,30,10
Inter Miami,Messi,FWD,37,IND,100,100,100,100,130
Manchester United,Antony,FWD,25,BRA,173,84,71,31,111
Real Madrid,Jude Bellingham,FWD,22,ENG,102,98,99,45,94
Manchester City,Rodri,DEF,29,ESP,95,89,104,46,93
FC Bayern Munich,Manuel Neuer,GK,39,GER,75,81,87,97,92
FC Bayern Munich,Harry Kane,FWD,31,ENG,104,97,83,47,92
Arsenal,Declan Rice,DEF,26,ENG,87,92,106,44,92
Manchester City,Kevin De Bruyne,MID,34,BEL,101,103,87,35,91
Liverpool,Virgil van Dijk,DEF,33,NED,88,89,106,44,91
Newcastle United,Bruno Guimaraes,DEF,27,BRA,93,98,102,36,91
Manchester City,Erling Haaland,FWD,24,NOR,108,88,76,49,91
Real Madrid,Eduardo Camavinga,DEF,22,FRA,93,91,102,41,91
Barcelona,Lamine Yamal,FWD,17,ESP,99,97,79,53,91
Real Madrid,Luka Modric,MID,39,CRO,87,100,91,46,90
Roma,Mats Hummels,DEF,36,GER,82,90,104,45,90
FC Bayern Munich,Joshua Kimmich,MID,30,GER,90,97,95,44,90
Paris Saint-Germain,Lucas Hernandez,DEF,29,FRA,82,89,106,40,90
Manchester City,Ruben Dias,DEF,28,POR,78,87,109,40,90
Barcelona,Ronald Araujo,DEF,26,URU,88,80,104,48,90
FC Bayern Munich,Dayot Upamecano,DEF,26,FRA,84,89,104,43,90
Real Madrid,Aurelien Tchouameni,DEF,25,FRA,88,89,102,43,90
Manchester United,Casemiro,DEF,33,BRA,89,86,102,43,89
Paris Saint-Germain,Marquinhos,DEF,31,BRA,83,85,102,50,89
Manchester City,Bernardo Silva,MID,30,POR,98,98,90,38,89
FC Bayern Munich,Joao Palhinha,DEF,29,POR,84,84,104,43,89
Inter Milan,Benjamin Pavard,DEF,29,FRA,87,86,99,47,89
Liverpool,Mohamed Salah,FWD,33,EGY,100,95,76,43,88
Manchester City,Ederson,GK,31,BRA,76,78,71,96,88
Manchester City,John Stones,DEF,31,ENG,84,87,100,46,88
FC Bayern Munich,Leon Goretzka,DEF,30,GER,93,87,95,44,88
Napoli,Andre-Franck Zambo Anguissa,DEF,29,CMR,90,90,97,44,88
Tottenham,Yves Bissouma,DEF,28,MLI,88,86,98,43,88
Real Madrid,eder Militao,DEF,27,BRA,87,85,102,41,88
Inter Milan,Federico Dimarco,DEF,27,ITA,93,92,94,41,88
Manchester United,Lisandro MartInez,DEF,27,ARG,79,86,102,43,88
Arsenal,Martin odegaard,MID,26,NOR,94,96,82,48,88
Inter Milan,Alessandro Bastoni,DEF,26,ITA,85,89,101,41,88
Borussia Dortmund,Nico Schlotterbeck,DEF,25,GER,86,87,99,41,88
Arsenal,William Saliba,DEF,24,FRA,86,84,99,46,88
Nice,Dante,DEF,41,BRA,75,85,101,47,87
Barcelona,Robert Lewandowski,FWD,36,POL,100,84,74,53,87
Newcastle United,Kieran Trippier,DEF,34,ENG,84,92,98,40,87
Athletic Madrid,Koke,DEF,33,ESP,87,90,96,42,87
Real Madrid,David Alaba,DEF,33,AUT,89,88,95,42,87
Arsenal,Thomas Partey,DEF,32,GHA,89,87,95,45,87
Real Madrid,Antonio Rudiger,DEF,32,GER,83,81,101,43,87
Manchester United,Bruno Fernandes,FWD,30,POR,99,96,76,43,87
Marsiele,Adrien Rabiot,DEF,30,FRA,93,89,97,33,87
Arsenal,Mikel Merino,DEF,29,ESP,89,90,97,40,87
Inter Milan,Nicolò Barella,DEF,28,ITA,91,93,97,36,87
FC Bayern Munich,Kim Min-Jae,DEF,28,KOR,80,82,103,44,87
Tottenham,Rodrigo Bentancur,DEF,28,URU,84,88,100,36,87
Tottenham,Cristian Romero,DEF,27,ARG,78,80,104,44,87
Juventus,Manuel Locatelli,DEF,27,ITA,87,86,98,40,87
Real Madrid,Federico Valverde,FWD,26,URU,96,87,91,38,87
Barcelona,Jules Kounde,DEF,26,FRA,83,87,100,41,87
Tottenham,Pedro Porro,MID,25,ESP,91,96,96,32,87
Chelsea,Reece James,DEF,25,ENG,90,88,96,41,87
Real Madrid,VinIcius Junior,FWD,24,BRA,101,91,73,44,87
Manchester United,Manuel Ugarte,DEF,24,URU,79,83,102,42,87
Manchester City,Josko Gvardiol,DEF,23,CRO,83,89,98,39,87
Inter Milan,Francesco Acerbi,DEF,37,ITA,77,79,100,45,86
Athletic Madrid,Antoine Griezmann,FWD,34,FRA,95,94,80,41,86
Newcastle United,Fabian Schar,DEF,33,SUI,83,85,101,37,86
Real Madrid,Dani Carvajal,DEF,33,ESP,85,86,97,39,86
Real Betis,William Carvalho,DEF,33,POR,80,87,97,43,86
Bayer 04 Leverkusen,Granit Xhaka,FWD,32,SUI,92,91,91,43,86
Marsiele,Geoffrey Kondogbia,DEF,32,CTA,91,87,96,35,86
Napoli,Giovanni Di Lorenzo,DEF,31,ITA,89,82,96,40,86
